bigram,category,value
donald_trump,U.S. NEWS,0.0
hillari_clinton,U.S. NEWS,0.0
new_york,U.S. NEWS,24.0
white_hous,U.S. NEWS,7.0
berni_sander,U.S. NEWS,0.0
suprem_court,U.S. NEWS,14.0
health_care,U.S. NEWS,0.0
climat_chang,U.S. NEWS,3.0
new_year,U.S. NEWS,3.0
look_like,U.S. NEWS,0.0
fashion_week,U.S. NEWS,0.0
studi_find,U.S. NEWS,0.0
super_bowl,U.S. NEWS,4.0
morn_email,U.S. NEWS,0.0
stephen_colbert,U.S. NEWS,0.0
north_korea,U.S. NEWS,0.0
kim_kardashian,U.S. NEWS,0.0
ted_cruz,U.S. NEWS,0.0
need_know,U.S. NEWS,0.0
fox_news,U.S. NEWS,0.0
taylor_swift,U.S. NEWS,0.0
valentin_day,U.S. NEWS,0.0
mother_day,U.S. NEWS,0.0
paul_ryan,U.S. NEWS,0.0
social_medium,U.S. NEWS,4.0
photo_poll,U.S. NEWS,0.0
sexual_assault,U.S. NEWS,7.0
joe_biden,U.S. NEWS,3.0
michell_obama,U.S. NEWS,0.0
jimmi_kimmel,U.S. NEWS,0.0
game_throne,U.S. NEWS,0.0
trump_administr,U.S. NEWS,6.0
red_carpet,U.S. NEWS,0.0
high_school,U.S. NEWS,5.0
open_letter,U.S. NEWS,0.0
istar_war,U.S. NEWS,0.0
mental_health,U.S. NEWS,0.0
jimmi_fallon,U.S. NEWS,0.0
trump_say,U.S. NEWS,0.0
box_offic,U.S. NEWS,0.0
york_citi,U.S. NEWS,8.0
kate_middleton,U.S. NEWS,0.0
north_carolina,U.S. NEWS,5.0
sexual_harass,U.S. NEWS,0.0
kany_west,U.S. NEWS,0.0
week_photo,U.S. NEWS,0.0
plan_parenthood,U.S. NEWS,0.0
trevor_noah,U.S. NEWS,0.0
marco_rubio,U.S. NEWS,0.0
mike_penni,U.S. NEWS,3.0
donald_trump,PARENTING,0.0
hillari_clinton,PARENTING,0.0
new_york,PARENTING,13.0
white_hous,PARENTING,0.0
berni_sander,PARENTING,0.0
suprem_court,PARENTING,0.0
health_care,PARENTING,0.0
climat_chang,PARENTING,0.0
new_year,PARENTING,25.0
look_like,PARENTING,16.0
fashion_week,PARENTING,0.0
studi_find,PARENTING,25.0
super_bowl,PARENTING,9.0
morn_email,PARENTING,0.0
stephen_colbert,PARENTING,0.0
north_korea,PARENTING,0.0
kim_kardashian,PARENTING,0.0
ted_cruz,PARENTING,0.0
need_know,PARENTING,23.0
fox_news,PARENTING,0.0
taylor_swift,PARENTING,0.0
valentin_day,PARENTING,19.0
mother_day,PARENTING,73.0
paul_ryan,PARENTING,0.0
social_medium,PARENTING,31.0
photo_poll,PARENTING,0.0
sexual_assault,PARENTING,0.0
joe_biden,PARENTING,0.0
michell_obama,PARENTING,10.0
jimmi_kimmel,PARENTING,10.0
game_throne,PARENTING,0.0
trump_administr,PARENTING,0.0
red_carpet,PARENTING,0.0
high_school,PARENTING,15.0
open_letter,PARENTING,35.0
istar_war,PARENTING,0.0
mental_health,PARENTING,16.0
jimmi_fallon,PARENTING,0.0
trump_say,PARENTING,0.0
box_offic,PARENTING,0.0
york_citi,PARENTING,0.0
kate_middleton,PARENTING,10.0
north_carolina,PARENTING,0.0
sexual_harass,PARENTING,0.0
kany_west,PARENTING,0.0
week_photo,PARENTING,0.0
plan_parenthood,PARENTING,0.0
trevor_noah,PARENTING,0.0
marco_rubio,PARENTING,0.0
mike_penni,PARENTING,0.0
donald_trump,COMEDY,581.0
hillari_clinton,COMEDY,38.0
new_york,COMEDY,11.0
white_hous,COMEDY,45.0
berni_sander,COMEDY,22.0
suprem_court,COMEDY,0.0
health_care,COMEDY,11.0
climat_chang,COMEDY,12.0
new_year,COMEDY,11.0
look_like,COMEDY,21.0
fashion_week,COMEDY,0.0
studi_find,COMEDY,0.0
super_bowl,COMEDY,24.0
morn_email,COMEDY,0.0
stephen_colbert,COMEDY,283.0
north_korea,COMEDY,7.0
kim_kardashian,COMEDY,0.0
ted_cruz,COMEDY,18.0
need_know,COMEDY,0.0
fox_news,COMEDY,28.0
taylor_swift,COMEDY,0.0
valentin_day,COMEDY,13.0
mother_day,COMEDY,0.0
paul_ryan,COMEDY,19.0
social_medium,COMEDY,7.0
photo_poll,COMEDY,0.0
sexual_assault,COMEDY,0.0
joe_biden,COMEDY,6.0
michell_obama,COMEDY,0.0
jimmi_kimmel,COMEDY,143.0
game_throne,COMEDY,16.0
trump_administr,COMEDY,10.0
red_carpet,COMEDY,0.0
high_school,COMEDY,0.0
open_letter,COMEDY,0.0
istar_war,COMEDY,20.0
mental_health,COMEDY,0.0
jimmi_fallon,COMEDY,135.0
trump_say,COMEDY,0.0
box_offic,COMEDY,0.0
york_citi,COMEDY,0.0
kate_middleton,COMEDY,0.0
north_carolina,COMEDY,0.0
sexual_harass,COMEDY,0.0
kany_west,COMEDY,10.0
week_photo,COMEDY,0.0
plan_parenthood,COMEDY,0.0
trevor_noah,COMEDY,166.0
marco_rubio,COMEDY,0.0
mike_penni,COMEDY,11.0
donald_trump,WORLD NEWS,17.0
hillari_clinton,WORLD NEWS,0.0
new_york,WORLD NEWS,0.0
white_hous,WORLD NEWS,0.0
berni_sander,WORLD NEWS,0.0
suprem_court,WORLD NEWS,6.0
health_care,WORLD NEWS,0.0
climat_chang,WORLD NEWS,17.0
new_year,WORLD NEWS,5.0
look_like,WORLD NEWS,0.0
fashion_week,WORLD NEWS,0.0
studi_find,WORLD NEWS,0.0
super_bowl,WORLD NEWS,0.0
morn_email,WORLD NEWS,0.0
stephen_colbert,WORLD NEWS,0.0
north_korea,WORLD NEWS,166.0
kim_kardashian,WORLD NEWS,0.0
ted_cruz,WORLD NEWS,0.0
need_know,WORLD NEWS,9.0
fox_news,WORLD NEWS,0.0
taylor_swift,WORLD NEWS,0.0
valentin_day,WORLD NEWS,0.0
mother_day,WORLD NEWS,0.0
paul_ryan,WORLD NEWS,0.0
social_medium,WORLD NEWS,5.0
photo_poll,WORLD NEWS,0.0
sexual_assault,WORLD NEWS,0.0
joe_biden,WORLD NEWS,0.0
michell_obama,WORLD NEWS,0.0
jimmi_kimmel,WORLD NEWS,0.0
game_throne,WORLD NEWS,0.0
trump_administr,WORLD NEWS,7.0
red_carpet,WORLD NEWS,0.0
high_school,WORLD NEWS,0.0
open_letter,WORLD NEWS,0.0
istar_war,WORLD NEWS,0.0
mental_health,WORLD NEWS,0.0
jimmi_fallon,WORLD NEWS,0.0
trump_say,WORLD NEWS,6.0
box_offic,WORLD NEWS,0.0
york_citi,WORLD NEWS,0.0
kate_middleton,WORLD NEWS,0.0
north_carolina,WORLD NEWS,0.0
sexual_harass,WORLD NEWS,6.0
kany_west,WORLD NEWS,0.0
week_photo,WORLD NEWS,0.0
plan_parenthood,WORLD NEWS,0.0
trevor_noah,WORLD NEWS,0.0
marco_rubio,WORLD NEWS,0.0
mike_penni,WORLD NEWS,0.0
donald_trump,CULTURE & ARTS,0.0
hillari_clinton,CULTURE & ARTS,0.0
new_york,CULTURE & ARTS,13.0
white_hous,CULTURE & ARTS,0.0
berni_sander,CULTURE & ARTS,0.0
suprem_court,CULTURE & ARTS,0.0
health_care,CULTURE & ARTS,0.0
climat_chang,CULTURE & ARTS,0.0
new_year,CULTURE & ARTS,0.0
look_like,CULTURE & ARTS,2.0
fashion_week,CULTURE & ARTS,0.0
studi_find,CULTURE & ARTS,0.0
super_bowl,CULTURE & ARTS,0.0
morn_email,CULTURE & ARTS,0.0
stephen_colbert,CULTURE & ARTS,0.0
north_korea,CULTURE & ARTS,0.0
kim_kardashian,CULTURE & ARTS,0.0
ted_cruz,CULTURE & ARTS,0.0
need_know,CULTURE & ARTS,0.0
fox_news,CULTURE & ARTS,0.0
taylor_swift,CULTURE & ARTS,0.0
valentin_day,CULTURE & ARTS,0.0
mother_day,CULTURE & ARTS,0.0
paul_ryan,CULTURE & ARTS,0.0
social_medium,CULTURE & ARTS,0.0
photo_poll,CULTURE & ARTS,0.0
sexual_assault,CULTURE & ARTS,0.0
joe_biden,CULTURE & ARTS,0.0
michell_obama,CULTURE & ARTS,0.0
jimmi_kimmel,CULTURE & ARTS,0.0
game_throne,CULTURE & ARTS,0.0
trump_administr,CULTURE & ARTS,0.0
red_carpet,CULTURE & ARTS,0.0
high_school,CULTURE & ARTS,0.0
open_letter,CULTURE & ARTS,0.0
istar_war,CULTURE & ARTS,0.0
mental_health,CULTURE & ARTS,0.0
jimmi_fallon,CULTURE & ARTS,0.0
trump_say,CULTURE & ARTS,0.0
box_offic,CULTURE & ARTS,0.0
york_citi,CULTURE & ARTS,0.0
kate_middleton,CULTURE & ARTS,0.0
north_carolina,CULTURE & ARTS,0.0
sexual_harass,CULTURE & ARTS,0.0
kany_west,CULTURE & ARTS,0.0
week_photo,CULTURE & ARTS,2.0
plan_parenthood,CULTURE & ARTS,0.0
trevor_noah,CULTURE & ARTS,0.0
marco_rubio,CULTURE & ARTS,0.0
mike_penni,CULTURE & ARTS,0.0
donald_trump,TECH,5.0
hillari_clinton,TECH,0.0
new_york,TECH,17.0
white_hous,TECH,6.0
berni_sander,TECH,0.0
suprem_court,TECH,0.0
health_care,TECH,0.0
climat_chang,TECH,5.0
new_year,TECH,0.0
look_like,TECH,4.0
fashion_week,TECH,0.0
studi_find,TECH,3.0
super_bowl,TECH,3.0
morn_email,TECH,0.0
stephen_colbert,TECH,0.0
north_korea,TECH,0.0
kim_kardashian,TECH,0.0
ted_cruz,TECH,0.0
need_know,TECH,6.0
fox_news,TECH,0.0
taylor_swift,TECH,0.0
valentin_day,TECH,0.0
mother_day,TECH,0.0
paul_ryan,TECH,0.0
social_medium,TECH,22.0
photo_poll,TECH,0.0
sexual_assault,TECH,0.0
joe_biden,TECH,0.0
michell_obama,TECH,0.0
jimmi_kimmel,TECH,0.0
game_throne,TECH,0.0
trump_administr,TECH,0.0
red_carpet,TECH,0.0
high_school,TECH,0.0
open_letter,TECH,0.0
istar_war,TECH,5.0
mental_health,TECH,0.0
jimmi_fallon,TECH,0.0
trump_say,TECH,0.0
box_offic,TECH,0.0
york_citi,TECH,4.0
kate_middleton,TECH,0.0
north_carolina,TECH,0.0
sexual_harass,TECH,0.0
kany_west,TECH,0.0
week_photo,TECH,0.0
plan_parenthood,TECH,0.0
trevor_noah,TECH,0.0
marco_rubio,TECH,0.0
mike_penni,TECH,0.0
donald_trump,SPORTS,38.0
hillari_clinton,SPORTS,0.0
new_york,SPORTS,43.0
white_hous,SPORTS,7.0
berni_sander,SPORTS,0.0
suprem_court,SPORTS,0.0
health_care,SPORTS,0.0
climat_chang,SPORTS,0.0
new_year,SPORTS,0.0
look_like,SPORTS,21.0
fashion_week,SPORTS,0.0
studi_find,SPORTS,0.0
super_bowl,SPORTS,117.0
morn_email,SPORTS,0.0
stephen_colbert,SPORTS,0.0
north_korea,SPORTS,0.0
kim_kardashian,SPORTS,0.0
ted_cruz,SPORTS,0.0
need_know,SPORTS,0.0
fox_news,SPORTS,0.0
taylor_swift,SPORTS,0.0
valentin_day,SPORTS,0.0
mother_day,SPORTS,0.0
paul_ryan,SPORTS,0.0
social_medium,SPORTS,0.0
photo_poll,SPORTS,0.0
sexual_assault,SPORTS,11.0
joe_biden,SPORTS,0.0
michell_obama,SPORTS,0.0
jimmi_kimmel,SPORTS,0.0
game_throne,SPORTS,0.0
trump_administr,SPORTS,0.0
red_carpet,SPORTS,0.0
high_school,SPORTS,38.0
open_letter,SPORTS,0.0
istar_war,SPORTS,0.0
mental_health,SPORTS,0.0
jimmi_fallon,SPORTS,0.0
trump_say,SPORTS,0.0
box_offic,SPORTS,0.0
york_citi,SPORTS,0.0
kate_middleton,SPORTS,0.0
north_carolina,SPORTS,12.0
sexual_harass,SPORTS,0.0
kany_west,SPORTS,0.0
week_photo,SPORTS,0.0
plan_parenthood,SPORTS,0.0
trevor_noah,SPORTS,0.0
marco_rubio,SPORTS,0.0
mike_penni,SPORTS,0.0
donald_trump,ENTERTAINMENT,386.0
hillari_clinton,ENTERTAINMENT,49.0
new_york,ENTERTAINMENT,52.0
white_hous,ENTERTAINMENT,30.0
berni_sander,ENTERTAINMENT,0.0
suprem_court,ENTERTAINMENT,0.0
health_care,ENTERTAINMENT,0.0
climat_chang,ENTERTAINMENT,0.0
new_year,ENTERTAINMENT,31.0
look_like,ENTERTAINMENT,54.0
fashion_week,ENTERTAINMENT,0.0
studi_find,ENTERTAINMENT,0.0
super_bowl,ENTERTAINMENT,66.0
morn_email,ENTERTAINMENT,0.0
stephen_colbert,ENTERTAINMENT,87.0
north_korea,ENTERTAINMENT,0.0
kim_kardashian,ENTERTAINMENT,171.0
ted_cruz,ENTERTAINMENT,0.0
need_know,ENTERTAINMENT,18.0
fox_news,ENTERTAINMENT,0.0
taylor_swift,ENTERTAINMENT,242.0
valentin_day,ENTERTAINMENT,0.0
mother_day,ENTERTAINMENT,0.0
paul_ryan,ENTERTAINMENT,0.0
social_medium,ENTERTAINMENT,41.0
photo_poll,ENTERTAINMENT,0.0
sexual_assault,ENTERTAINMENT,42.0
joe_biden,ENTERTAINMENT,0.0
michell_obama,ENTERTAINMENT,0.0
jimmi_kimmel,ENTERTAINMENT,70.0
game_throne,ENTERTAINMENT,201.0
trump_administr,ENTERTAINMENT,0.0
red_carpet,ENTERTAINMENT,60.0
high_school,ENTERTAINMENT,0.0
open_letter,ENTERTAINMENT,0.0
istar_war,ENTERTAINMENT,161.0
mental_health,ENTERTAINMENT,0.0
jimmi_fallon,ENTERTAINMENT,76.0
trump_say,ENTERTAINMENT,0.0
box_offic,ENTERTAINMENT,238.0
york_citi,ENTERTAINMENT,0.0
kate_middleton,ENTERTAINMENT,0.0
north_carolina,ENTERTAINMENT,0.0
sexual_harass,ENTERTAINMENT,49.0
kany_west,ENTERTAINMENT,137.0
week_photo,ENTERTAINMENT,0.0
plan_parenthood,ENTERTAINMENT,0.0
trevor_noah,ENTERTAINMENT,29.0
marco_rubio,ENTERTAINMENT,0.0
mike_penni,ENTERTAINMENT,0.0
donald_trump,POLITICS,2993.0
hillari_clinton,POLITICS,1052.0
new_york,POLITICS,205.0
white_hous,POLITICS,621.0
berni_sander,POLITICS,626.0
suprem_court,POLITICS,560.0
health_care,POLITICS,395.0
climat_chang,POLITICS,209.0
new_year,POLITICS,0.0
look_like,POLITICS,62.0
fashion_week,POLITICS,0.0
studi_find,POLITICS,0.0
super_bowl,POLITICS,0.0
morn_email,POLITICS,408.0
stephen_colbert,POLITICS,0.0
north_korea,POLITICS,89.0
kim_kardashian,POLITICS,0.0
ted_cruz,POLITICS,310.0
need_know,POLITICS,55.0
fox_news,POLITICS,118.0
taylor_swift,POLITICS,0.0
valentin_day,POLITICS,0.0
mother_day,POLITICS,0.0
paul_ryan,POLITICS,267.0
social_medium,POLITICS,0.0
photo_poll,POLITICS,0.0
sexual_assault,POLITICS,66.0
joe_biden,POLITICS,223.0
michell_obama,POLITICS,50.0
jimmi_kimmel,POLITICS,0.0
game_throne,POLITICS,0.0
trump_administr,POLITICS,203.0
red_carpet,POLITICS,0.0
high_school,POLITICS,0.0
open_letter,POLITICS,46.0
istar_war,POLITICS,0.0
mental_health,POLITICS,0.0
jimmi_fallon,POLITICS,0.0
trump_say,POLITICS,192.0
box_offic,POLITICS,0.0
york_citi,POLITICS,0.0
kate_middleton,POLITICS,0.0
north_carolina,POLITICS,123.0
sexual_harass,POLITICS,75.0
kany_west,POLITICS,0.0
week_photo,POLITICS,0.0
plan_parenthood,POLITICS,153.0
trevor_noah,POLITICS,0.0
marco_rubio,POLITICS,204.0
mike_penni,POLITICS,160.0
donald_trump,WEIRD NEWS,42.0
hillari_clinton,WEIRD NEWS,5.0
new_york,WEIRD NEWS,6.0
white_hous,WEIRD NEWS,5.0
berni_sander,WEIRD NEWS,0.0
suprem_court,WEIRD NEWS,0.0
health_care,WEIRD NEWS,0.0
climat_chang,WEIRD NEWS,0.0
new_year,WEIRD NEWS,5.0
look_like,WEIRD NEWS,11.0
fashion_week,WEIRD NEWS,0.0
studi_find,WEIRD NEWS,0.0
super_bowl,WEIRD NEWS,4.0
morn_email,WEIRD NEWS,0.0
stephen_colbert,WEIRD NEWS,0.0
north_korea,WEIRD NEWS,0.0
kim_kardashian,WEIRD NEWS,0.0
ted_cruz,WEIRD NEWS,0.0
need_know,WEIRD NEWS,0.0
fox_news,WEIRD NEWS,0.0
taylor_swift,WEIRD NEWS,3.0
valentin_day,WEIRD NEWS,0.0
mother_day,WEIRD NEWS,0.0
paul_ryan,WEIRD NEWS,0.0
social_medium,WEIRD NEWS,0.0
photo_poll,WEIRD NEWS,0.0
sexual_assault,WEIRD NEWS,0.0
joe_biden,WEIRD NEWS,0.0
michell_obama,WEIRD NEWS,0.0
jimmi_kimmel,WEIRD NEWS,0.0
game_throne,WEIRD NEWS,0.0
trump_administr,WEIRD NEWS,0.0
red_carpet,WEIRD NEWS,0.0
high_school,WEIRD NEWS,0.0
open_letter,WEIRD NEWS,0.0
istar_war,WEIRD NEWS,6.0
mental_health,WEIRD NEWS,0.0
jimmi_fallon,WEIRD NEWS,0.0
trump_say,WEIRD NEWS,0.0
box_offic,WEIRD NEWS,0.0
york_citi,WEIRD NEWS,3.0
kate_middleton,WEIRD NEWS,0.0
north_carolina,WEIRD NEWS,3.0
sexual_harass,WEIRD NEWS,0.0
kany_west,WEIRD NEWS,0.0
week_photo,WEIRD NEWS,0.0
plan_parenthood,WEIRD NEWS,0.0
trevor_noah,WEIRD NEWS,0.0
marco_rubio,WEIRD NEWS,0.0
mike_penni,WEIRD NEWS,0.0
donald_trump,ENVIRONMENT,0.0
hillari_clinton,ENVIRONMENT,0.0
new_york,ENVIRONMENT,15.0
white_hous,ENVIRONMENT,2.0
berni_sander,ENVIRONMENT,0.0
suprem_court,ENVIRONMENT,0.0
health_care,ENVIRONMENT,0.0
climat_chang,ENVIRONMENT,83.0
new_year,ENVIRONMENT,0.0
look_like,ENVIRONMENT,3.0
fashion_week,ENVIRONMENT,0.0
studi_find,ENVIRONMENT,5.0
super_bowl,ENVIRONMENT,7.0
morn_email,ENVIRONMENT,0.0
